EmissionID,Year,TechID,ETypeID,Value
14,2015,10,ET,1.23229315746768e-6
14,2015,25,ET,3.63570153661473e-7
14,2015,40,ET,1.1621260323590199e-4
14,2015,50,ET,1.0584606784471199e-16
14,2015,70,ET,1.6944328129420201e-6
14,2015,80,ET,1.3042697076411401e-5
14,2015,81,ET,1.46526193664194e-5
14,2015,90,ET,1.58097821164936e-6
14,2015,91,ET,3.38262599600934e-15
14,2015,92,ET,8.002744952134149e-11
14,2015,100,ET,1.63492633335388e-6
14,2015,110,ET,1.63492633335388e-6
14,2015,120,ET,1.5827176724812499e-6
14,2015,130,ET,7.98306612527369e-7
14,2015,140,ET,1.2990017489729499e-5
14,2015,150,ET,7.73042990140865e-7
14,2015,160,ET,7.959741634647281e-7
14,2015,161,ET,1.33903877867152e-10
14,2015,162,ET,9.184685564279311e-10
14,2015,170,ET,7.959741634647281e-7
14,2015,171,ET,1.3999126631721999e-5
14,2015,181,ET,7.64115677121231e-7
14,2015,190,ET,1.0465145842390699e-7
14,2015,191,ET,5.41695778177291e-11
14,2015,192,ET,2.66993579205773e-10
14,2015,200,ET,1.12516061649606e-5
14,2015,210,ET,1.07897138408861e-7
14,2015,220,ET,1.11370623373837e-7
14,2015,230,ET,1.11370623373837e-7
14,2015,240,ET,1.06900800149123e-7
14,2015,245,ET,1.15297505890791e-5
14,2015,250,ET,1.69325648982809e-7
14,2015,251,ET,5.47322061667063e-6
14,2015,260,ET,4.3183945996306605e-6
14,2015,265,ET,6.7450637797574796e-6
14,2015,266,ET,1.13297853170524e-5
14,2015,270,ET,6.112013134671541e-8
14,2015,276,ET,6.62413680280665e-13
14,2015,280,ET,6.112013134671541e-8
14,2015,290,ET,6.254805666528861e-8
14,2015,291,ET,7.96976269393461e-29
14,2015,295,ET,1.18092503279167e-8
14,2015,300,ET,6.0639514404875e-8
14,2015,305,ET,1.1397533866152301e-8
14,2015,310,ET,5.40720234792146e-8
14,2015,320,ET,5.51889361992902e-8
14,2015,321,ET,4.88526377176722e-7
14,2015,330,ET,5.5051476910927396e-8
14,2015,340,ET,5.4586662696365396e-8
14,2015,350,ET,5.65925824140212e-8
14,2015,360,ET,5.48240835351208e-8
14,2015,361,ET,4.3292717663768196e-29
14,2015,363,ET,3.08445528433456e-6
14,2015,364,ET,4.67680564914017e-12
14,2015,366,ET,4.13964604091003e-6
14,2015,386,ET,3.21928340051946e-29
14,2015,400,ET,4.6301019329604005e-9
14,2015,401,ET,5.2162339177559195e-8
14,2015,411,ET,4.8594332068277897e-29
14,2015,420,ET,2.5118155899323898e-40
14,2015,433,ET,8.67179298859471e-29
14,2015,444,ET,1.2704161969670599e-28
14,2015,461,ET,1.32475319707608e-8
14,2015,462,ET,1.4804437448517299e-7
14,2015,471,ET,6.441980755793599e-10
14,2015,472,ET,1.17864541874859e-8
14,2015,515,ET,2.20009793232405e-13
14,2015,521,ET,9.104110208473729e-29
14,2015,531,ET,1.5729216416058e-29
14,2015,541,ET,9.25762943841684e-30
14,2015,551,ET,1.10986892621096e-28
14,2015,611,ET,1.28752028664161e-11
14,2015,612,ET,1.46857406475155e-10
14,2015,620,ET,4.06936548885691e-8
14,2015,621,ET,7.995780783731111e-7
14,2015,630,ET,4.2396857808188297e-7
14,2015,631,ET,3.80069693943322e-12
14,2015,632,ET,4.45611353242866e-11
14,2015,641,ET,2.77224454397575e-21
14,2015,642,ET,3.56939515521789e-15
14,2015,670,ET,1.6394125657860902e-9
14,2015,690,ET,2.71387629494292e-9
14,2015,700,ET,4.23034263296728e-7
14,2015,720,ET,4.23034263296728e-7
14,2015,730,ET,3.84945832299087e-6
14,2015,810,ET,3.86542256934278e-7
14,2015,811,ET,1.12230942605506e-10
14,2015,850,ET,3.69808870228351e-7
14,2015,857,ET,2.65904291174181e-9
14,2015,865,ET,1.49302516390759e-9
14,2015,870,ET,1.36923220377315e-5
14,2015,890,ET,4.34572348257727e-4
14,2015,970,ET,1.35911167996957e-5
14,2015,980,ET,1.14113421532404e-5
14,2015,981,ET,7.26506891349184e-7
14,2015,991,ET,1.56222418160292e-8
14,2015,1040,ET,1.14113421532404e-5
14,2015,1050,ET,8.22396433814957e-7
14,2015,1051,ET,8.22084966103155e-7
14,2015,1110,ET,3.35207733253842e-10
14,2015,1131,ET,2.4825647002743303e-6
14,2015,1132,ET,6.63342074118596e-6
14,2015,1142,ET,1.3905896556525199e-7
